order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2024-12-03,2024,4,12,December,North America,United States,Clothing,Kids,Small Business,16,78.2,1251.2,610.42,640.78,0.5121
2022-06-15,2022,2,6,June,North America,Canada,Electronics,Accessories,Consumer,5,31.12,155.6,111.97,43.63,0.2804
2024-08-12,2024,3,8,August,North America,United States,Electronics,Wearables,Consumer,14,115.49,1616.86,1352.59,264.27,0.1634
2024-02-19,2024,1,2,February,Europe,Italy,Clothing,Men,Small Business,16,11.0,176.0,90.21,85.79,0.4874
2023-07-13,2023,3,7,July,Asia Pacific,Australia,Office Supplies,Binders,Corporate,14,19.05,266.7,154.24,112.46,0.4217
2024-12-29,2024,4,12,December,Asia Pacific,Australia,Office Supplies,Appliances,Home Office,1,273.94,273.94,176.78,97.16,0.3547
2023-01-08,2023,1,1,January,Asia Pacific,China,Office Supplies,Binders,Small Business,2,12.06,24.12,13.46,10.66,0.442
2024-05-13,2024,2,5,May,Europe,France,Clothing,Footwear,Consumer,9,220.05,1980.45,1090.23,890.22,0.4495
2022-05-21,2022,2,5,May,Asia Pacific,China,Clothing,Kids,Consumer,2,92.47,184.94,130.17,54.77,0.2962
2022-08-23,2022,3,8,August,North America,United States,Office Supplies,Binders,Consumer,7,18.42,128.94,68.93,60.01,0.4654
2022-12-02,2022,4,12,December,Europe,Italy,Office Supplies,Paper,Small Business,10,5.92,59.2,27.14,32.06,0.5416
2023-02-11,2023,1,2,February,North America,Mexico,Clothing,Footwear,Consumer,3,161.29,483.87,322.15,161.72,0.3342
2022-03-26,2022,1,3,March,North America,Mexico,Clothing,Men,Small Business,12,100.57,1206.84,738.21,468.63,0.3883
2022-08-05,2022,3,8,August,North America,Mexico,Furniture,Storage,Small Business,14,673.73,9432.22,6806.37,2625.85,0.2784
2024-09-17,2024,3,9,September,Asia Pacific,Japan,Furniture,Tables,Corporate,15,524.29,7864.35,5877.63,1986.72,0.2526
2024-07-12,2024,3,7,July,North America,United States,Clothing,Men,Consumer,8,137.58,1100.64,640.96,459.68,0.4176
2023-03-11,2023,1,3,March,Asia Pacific,India,Electronics,Accessories,Consumer,12,121.7,1460.4,1034.68,425.72,0.2915
2024-04-12,2024,2,4,April,Latin America,Chile,Office Supplies,Binders,Consumer,16,21.21,339.36,179.63,159.73,0.4707
2023-03-30,2023,1,3,March,Europe,Spain,Furniture,Chairs,Consumer,13,394.35,5126.55,3243.44,1883.11,0.3673
2023-11-09,2023,4,11,November,Europe,Spain,Office Supplies,Writing,Consumer,12,14.35,172.2,92.89,79.31,0.4606
2023-01-15,2023,1,1,January,North America,United States,Office Supplies,Writing,Consumer,7,5.11,35.77,21.81,13.96,0.3903
2023-08-30,2023,3,8,August,Asia Pacific,Singapore,Office Supplies,Paper,Small Business,8,12.74,101.92,56.03,45.89,0.4503
2022-09-16,2022,3,9,September,Asia Pacific,Japan,Electronics,Phones,Corporate,16,347.46,5559.36,3464.53,2094.83,0.3768
2023-06-02,2023,2,6,June,North America,Canada,Furniture,Desks,Home Office,16,266.03,4256.48,2416.16,1840.32,0.4324
2023-09-15,2023,3,9,September,Europe,Italy,Office Supplies,Paper,Consumer,3,29.84,89.52,43.78,45.74,0.5109
2024-02-19,2024,1,2,February,Asia Pacific,Singapore,Office Supplies,Binders,Small Business,15,32.16,482.4,264.42,217.98,0.4519
2022-07-23,2022,3,7,July,Europe,Spain,Furniture,Chairs,Corporate,7,360.89,2526.23,1569.94,956.29,0.3785
2024-04-16,2024,2,4,April,North America,United States,Electronics,Phones,Consumer,15,904.9,13573.5,10073.94,3499.56,0.2578
2023-04-24,2023,2,4,April,North America,Canada,Office Supplies,Appliances,Consumer,9,240.59,2165.31,1421.03,744.28,0.3437
2023-06-29,2023,2,6,June,Asia Pacific,Japan,Furniture,Desks,Corporate,5,211.4,1057.0,628.7,428.3,0.4052
2024-08-17,2024,3,8,August,North America,Mexico,Clothing,Kids,Consumer,10,86.37,863.7,606.02,257.68,0.2983
2023-10-23,2023,4,10,October,Europe,Spain,Furniture,Chairs,Small Business,9,58.06,522.54,319.69,202.85,0.3882
2023-07-06,2023,3,7,July,Asia Pacific,Singapore,Office Supplies,Paper,Home Office,2,23.6,47.2,23.97,23.23,0.4922
2024-06-11,2024,2,6,June,Europe,Spain,Clothing,Women,Home Office,16,213.5,3416.0,1880.18,1535.82,0.4496
2024-10-11,2024,4,10,October,Europe,France,Office Supplies,Binders,Consumer,10,24.54,245.4,142.86,102.54,0.4178
2022-08-26,2022,3,8,August,Asia Pacific,China,Furniture,Tables,Consumer,13,962.21,12508.73,9665.88,2842.85,0.2273
2024-01-11,2024,1,1,January,North America,Mexico,Furniture,Chairs,Consumer,16,360.83,5773.28,4359.97,1413.31,0.2448
2024-09-19,2024,3,9,September,North America,Mexico,Electronics,Accessories,Consumer,4,14.04,56.16,44.02,12.14,0.2162
2022-07-10,2022,3,7,July,Asia Pacific,Japan,Furniture,Chairs,Corporate,8,546.09,4368.72,3479.65,889.07,0.2035
2023-08-21,2023,3,8,August,Europe,United Kingdom,Office Supplies,Binders,Corporate,17,25.87,439.79,258.21,181.58,0.4129
2024-11-06,2024,4,11,November,Europe,Spain,Electronics,Laptops,Consumer,5,2241.65,11208.25,7754.14,3454.11,0.3082
2023-08-03,2023,3,8,August,Asia Pacific,Australia,Furniture,Tables,Small Business,10,934.23,9342.3,6601.08,2741.22,0.2934
2024-02-12,2024,1,2,February,Asia Pacific,Japan,Furniture,Storage,Consumer,15,655.01,9825.15,7710.7,2114.45,0.2152
2024-04-21,2024,2,4,April,Latin America,Argentina,Office Supplies,Binders,Small Business,2,13.86,27.72,16.8,10.92,0.3939
2022-03-17,2022,1,3,March,Latin America,Colombia,Furniture,Desks,Corporate,5,762.93,3814.65,2705.92,1108.73,0.2907
2022-10-23,2022,4,10,October,Asia Pacific,Australia,Electronics,Wearables,Consumer,14,576.43,8070.02,7038.58,1031.44,0.1278
2023-11-04,2023,4,11,November,North America,Canada,Furniture,Storage,Corporate,18,284.61,5122.98,3255.65,1867.33,0.3645
2023-04-26,2023,2,4,April,Asia Pacific,Australia,Clothing,Men,Corporate,10,179.56,1795.6,1147.33,648.27,0.361
2023-09-06,2023,3,9,September,Europe,United Kingdom,Clothing,Men,Consumer,1,17.82,17.82,11.67,6.15,0.3451
2023-01-04,2023,1,1,January,North America,Canada,Furniture,Desks,Corporate,6,344.09,2064.54,1475.24,589.3,0.2854
2023-06-05,2023,2,6,June,Europe,Germany,Furniture,Desks,Consumer,15,446.82,6702.3,3703.27,2999.03,0.4475
2023-12-09,2023,4,12,December,Asia Pacific,India,Office Supplies,Binders,Consumer,10,23.81,238.1,140.48,97.62,0.41
2022-08-07,2022,3,8,August,North America,Canada,Electronics,Wearables,Small Business,8,297.38,2379.04,1697.04,682.0,0.2867
2022-04-11,2022,2,4,April,North America,Mexico,Electronics,Wearables,Consumer,16,554.72,8875.52,7586.47,1289.05,0.1452
2023-01-25,2023,1,1,January,Asia Pacific,Japan,Office Supplies,Writing,Consumer,9,13.88,124.92,85.93,38.99,0.3121
2024-06-21,2024,2,6,June,Asia Pacific,Japan,Office Supplies,Paper,Consumer,2,18.65,37.3,25.8,11.5,0.3083
2022-09-28,2022,3,9,September,North America,Canada,Furniture,Storage,Consumer,18,617.23,11110.14,7208.05,3902.09,0.3512
2024-09-13,2024,3,9,September,Europe,France,Clothing,Kids,Home Office,10,91.61,916.1,465.74,450.36,0.4916
2024-03-24,2024,1,3,March,North America,United States,Electronics,Laptops,Small Business,18,1294.97,23309.46,19243.76,4065.7,0.1744
2023-06-21,2023,2,6,June,North America,Mexico,Electronics,Accessories,Corporate,13,125.14,1626.82,1406.35,220.47,0.1355
2023-03-30,2023,1,3,March,North America,United States,Furniture,Tables,Home Office,3,728.11,2184.33,1475.19,709.14,0.3246
2023-09-16,2023,3,9,September,Asia Pacific,Australia,Electronics,Phones,Home Office,16,360.31,5764.96,3926.21,1838.75,0.319
2022-11-13,2022,4,11,November,Europe,Spain,Furniture,Storage,Corporate,14,468.8,6563.2,5087.12,1476.08,0.2249
2024-06-29,2024,2,6,June,Asia Pacific,India,Electronics,Accessories,Consumer,8,129.76,1038.08,670.43,367.65,0.3542
2023-07-20,2023,3,7,July,Asia Pacific,Singapore,Clothing,Kids,Consumer,7,116.44,815.08,573.56,241.52,0.2963
2023-11-15,2023,4,11,November,Asia Pacific,China,Office Supplies,Paper,Consumer,8,29.7,237.6,168.63,68.97,0.2903
2023-04-23,2023,2,4,April,North America,Mexico,Electronics,Laptops,Small Business,11,2071.3,22784.3,18798.13,3986.17,0.175
2023-05-29,2023,2,5,May,Europe,France,Clothing,Women,Home Office,6,33.08,198.48,134.42,64.06,0.3228
2022-02-02,2022,1,2,February,North America,Canada,Clothing,Women,Corporate,6,65.73,394.38,173.75,220.63,0.5594
2024-01-12,2024,1,1,January,Europe,United Kingdom,Office Supplies,Appliances,Consumer,17,186.23,3165.91,1896.89,1269.02,0.4008
2022-03-05,2022,1,3,March,North America,Mexico,Electronics,Accessories,Consumer,2,149.8,299.6,251.75,47.85,0.1597
2022-06-15,2022,2,6,June,Europe,United Kingdom,Furniture,Storage,Consumer,11,437.56,4813.16,2732.6,2080.56,0.4323
2024-12-22,2024,4,12,December,North America,Mexico,Office Supplies,Writing,Consumer,10,9.62,96.2,62.51,33.69,0.3502
2023-04-13,2023,2,4,April,North America,Mexico,Electronics,Laptops,Consumer,14,1243.97,17415.58,12851.13,4564.45,0.2621
2024-02-06,2024,1,2,February,Europe,United Kingdom,Furniture,Tables,Corporate,5,780.56,3902.8,2646.3,1256.5,0.3219
2024-02-03,2024,1,2,February,North America,United States,Electronics,Phones,Small Business,5,778.55,3892.75,3007.08,885.67,0.2275
2024-05-16,2024,2,5,May,Europe,France,Office Supplies,Appliances,Consumer,2,291.15,582.3,377.41,204.89,0.3519
2023-04-05,2023,2,4,April,Europe,Italy,Furniture,Desks,Corporate,4,568.15,2272.6,1591.26,681.34,0.2998
2022-02-23,2022,1,2,February,North America,Canada,Office Supplies,Appliances,Small Business,9,28.11,252.99,136.66,116.33,0.4598
2024-03-31,2024,1,3,March,Asia Pacific,India,Furniture,Desks,Small Business,3,301.6,904.8,652.32,252.48,0.279
2023-11-30,2023,4,11,November,North America,Mexico,Office Supplies,Appliances,Consumer,6,123.61,741.66,510.36,231.3,0.3119
2022-04-12,2022,2,4,April,Asia Pacific,Singapore,Office Supplies,Paper,Consumer,3,10.35,31.05,20.76,10.29,0.3314
2022-08-22,2022,3,8,August,Europe,Spain,Furniture,Desks,Small Business,12,670.29,8043.48,5039.05,3004.43,0.3735
2024-03-20,2024,1,3,March,Asia Pacific,Australia,Office Supplies,Writing,Consumer,2,1.15,2.3,1.26,1.04,0.4522
2022-01-16,2022,1,1,January,North America,United States,Clothing,Kids,Consumer,16,91.67,1466.72,669.15,797.57,0.5438
2022-03-28,2022,1,3,March,Europe,Germany,Furniture,Tables,Consumer,14,99.12,1387.68,1108.36,279.32,0.2013
2024-05-05,2024,2,5,May,Asia Pacific,Singapore,Furniture,Storage,Corporate,10,107.17,1071.7,595.47,476.23,0.4444
2022-08-05,2022,3,8,August,North America,Mexico,Furniture,Tables,Consumer,8,524.39,4195.12,2760.9,1434.22,0.3419
2022-12-11,2022,4,12,December,North America,Canada,Office Supplies,Binders,Consumer,3,19.82,59.46,28.99,30.47,0.5124
2022-10-27,2022,4,10,October,Europe,France,Furniture,Desks,Consumer,9,372.51,3352.59,2389.22,963.37,0.2874
2024-07-08,2024,3,7,July,Asia Pacific,China,Electronics,Wearables,Corporate,11,572.62,6298.82,4932.46,1366.36,0.2169
2022-04-26,2022,2,4,April,North America,United States,Furniture,Tables,Small Business,12,597.48,7169.76,4544.27,2625.49,0.3662
2022-07-04,2022,3,7,July,Europe,United Kingdom,Furniture,Tables,Consumer,17,472.17,8026.89,5672.51,2354.38,0.2933
2024-09-01,2024,3,9,September,Latin America,Brazil,Furniture,Desks,Consumer,17,313.1,5322.7,3016.41,2306.29,0.4333
2022-12-20,2022,4,12,December,North America,Canada,Clothing,Men,Corporate,2,52.12,104.24,56.3,47.94,0.4599
2023-08-03,2023,3,8,August,Europe,Italy,Office Supplies,Writing,Consumer,13,8.77,114.01,64.03,49.98,0.4384
2024-03-02,2024,1,3,March,Europe,France,Electronics,Phones,Corporate,10,489.4,4894.0,4117.85,776.15,0.1586
2022-10-17,2022,4,10,October,Latin America,Peru,Clothing,Kids,Consumer,12,42.75,513.0,312.9,200.1,0.3901
2024-02-11,2024,1,2,February,Asia Pacific,Japan,Office Supplies,Paper,Consumer,11,24.96,274.56,184.27,90.29,0.3289
2022-02-07,2022,1,2,February,Asia Pacific,Singapore,Electronics,Wearables,Corporate,12,256.05,3072.6,2664.88,407.72,0.1327
2023-08-29,2023,3,8,August,Europe,Spain,Electronics,Laptops,Consumer,4,1564.61,6258.44,4758.54,1499.9,0.2397
2022-09-26,2022,3,9,September,Asia Pacific,Singapore,Electronics,Accessories,Small Business,13,31.6,410.8,274.01,136.79,0.333
2022-03-31,2022,1,3,March,Asia Pacific,Singapore,Clothing,Women,Small Business,14,86.5,1211.0,763.25,447.75,0.3697
2023-05-05,2023,2,5,May,Latin America,Peru,Electronics,Wearables,Consumer,10,630.39,6303.9,5194.01,1109.89,0.1761
2023-08-01,2023,3,8,August,Latin America,Argentina,Furniture,Storage,Corporate,13,366.95,4770.35,3162.93,1607.42,0.337
2022-04-17,2022,2,4,April,North America,United States,Clothing,Women,Small Business,16,193.56,3096.96,1788.35,1308.61,0.4225
2022-11-25,2022,4,11,November,North America,Mexico,Clothing,Kids,Consumer,9,58.32,524.88,296.18,228.7,0.4357
2023-12-17,2023,4,12,December,Asia Pacific,China,Clothing,Women,Small Business,1,97.13,97.13,51.17,45.96,0.4732
2023-10-15,2023,4,10,October,Europe,Spain,Clothing,Kids,Consumer,4,101.99,407.96,248.03,159.93,0.392
2022-10-12,2022,4,10,October,Asia Pacific,Japan,Electronics,Wearables,Corporate,16,335.7,5371.2,3337.48,2033.72,0.3786
2024-12-16,2024,4,12,December,North America,Canada,Electronics,Laptops,Corporate,14,811.26,11357.64,7892.5,3465.14,0.3051
2024-10-20,2024,4,10,October,North America,United States,Electronics,Wearables,Consumer,18,89.37,1608.66,1212.93,395.73,0.246
2023-05-08,2023,2,5,May,North America,United States,Electronics,Phones,Corporate,14,427.95,5991.3,4755.51,1235.79,0.2063
2024-08-20,2024,3,8,August,Europe,France,Electronics,Phones,Consumer,2,853.89,1707.78,1494.43,213.35,0.1249
2022-08-01,2022,3,8,August,North America,United States,Furniture,Chairs,Consumer,11,112.37,1236.07,797.41,438.66,0.3549
2024-09-07,2024,3,9,September,Europe,Germany,Clothing,Footwear,Home Office,6,214.38,1286.28,540.48,745.8,0.5798
2023-02-13,2023,1,2,February,Asia Pacific,Australia,Electronics,Laptops,Consumer,2,1199.63,2399.26,1680.97,718.29,0.2994
2023-01-27,2023,1,1,January,Europe,Italy,Furniture,Chairs,Small Business,10,225.27,2252.7,1713.92,538.78,0.2392
2024-03-30,2024,1,3,March,Asia Pacific,India,Electronics,Accessories,Consumer,15,135.25,2028.75,1461.77,566.98,0.2795
2024-11-29,2024,4,11,November,Latin America,Colombia,Office Supplies,Writing,Home Office,9,16.22,145.98,100.72,45.26,0.31
2023-10-20,2023,4,10,October,North America,Mexico,Clothing,Women,Corporate,4,26.81,107.24,65.58,41.66,0.3885
2023-12-21,2023,4,12,December,North America,Mexico,Office Supplies,Binders,Corporate,15,5.31,79.65,58.71,20.94,0.2629
2024-04-11,2024,2,4,April,Europe,Spain,Electronics,Phones,Consumer,12,737.43,8849.16,7211.83,1637.33,0.185
2022-05-18,2022,2,5,May,North America,United States,Electronics,Wearables,Consumer,8,523.75,4190.0,2996.88,1193.12,0.2848
2024-01-30,2024,1,1,January,Europe,Italy,Electronics,Laptops,Corporate,12,1443.48,17321.76,11085.76,6236.0,0.36
2022-08-21,2022,3,8,August,North America,Canada,Furniture,Tables,Consumer,1,830.39,830.39,568.6,261.79,0.3153
2023-03-16,2023,1,3,March,Europe,Italy,Electronics,Accessories,Corporate,10,107.16,1071.6,942.63,128.97,0.1204
2024-06-30,2024,2,6,June,North America,United States,Clothing,Footwear,Consumer,3,214.14,642.42,455.87,186.55,0.2904
2022-11-19,2022,4,11,November,Latin America,Chile,Office Supplies,Writing,Home Office,6,16.08,96.48,59.61,36.87,0.3822
2022-02-23,2022,1,2,February,North America,United States,Clothing,Women,Small Business,12,126.34,1516.08,785.41,730.67,0.4819
2024-03-26,2024,1,3,March,Asia Pacific,Singapore,Electronics,Phones,Consumer,16,749.41,11990.56,9832.05,2158.51,0.18
2024-07-10,2024,3,7,July,Asia Pacific,China,Electronics,Accessories,Corporate,15,105.22,1578.3,1119.92,458.38,0.2904
2022-09-22,2022,3,9,September,Asia Pacific,Singapore,Office Supplies,Binders,Small Business,14,19.59,274.26,202.0,72.26,0.2635
2023-04-07,2023,2,4,April,Asia Pacific,Singapore,Electronics,Laptops,Consumer,12,2400.22,28802.64,21743.5,7059.14,0.2451
2023-09-13,2023,3,9,September,North America,United States,Electronics,Accessories,Consumer,18,23.08,415.44,326.81,88.63,0.2133
2022-03-26,2022,1,3,March,Europe,Italy,Electronics,Accessories,Small Business,1,21.37,21.37,18.52,2.85,0.1334
2022-03-04,2022,1,3,March,Asia Pacific,India,Office Supplies,Appliances,Corporate,16,268.92,4302.72,2710.89,1591.83,0.37
2022-05-30,2022,2,5,May,Asia Pacific,India,Furniture,Storage,Consumer,2,135.91,271.82,180.0,91.82,0.3378
2023-10-16,2023,4,10,October,Europe,France,Office Supplies,Writing,Small Business,12,19.53,234.36,115.58,118.78,0.5068
2023-07-02,2023,3,7,July,Europe,Italy,Electronics,Laptops,Corporate,15,1071.05,16065.75,10365.16,5700.59,0.3548
2022-11-24,2022,4,11,November,North America,Canada,Clothing,Footwear,Consumer,11,243.97,2683.67,1692.75,990.92,0.3692
2023-09-24,2023,3,9,September,North America,United States,Furniture,Storage,Corporate,16,45.53,728.48,586.58,141.9,0.1948
2023-07-31,2023,3,7,July,Europe,Germany,Electronics,Accessories,Consumer,16,93.65,1498.4,1257.37,241.03,0.1609
2023-06-26,2023,2,6,June,Asia Pacific,India,Office Supplies,Paper,Consumer,12,23.62,283.44,161.78,121.66,0.4292
2022-05-31,2022,2,5,May,Europe,Italy,Office Supplies,Writing,Corporate,13,10.58,137.54,96.59,40.95,0.2977
2022-07-18,2022,3,7,July,North America,Mexico,Office Supplies,Paper,Consumer,13,13.08,170.04,131.89,38.15,0.2244
2024-04-02,2024,2,4,April,Europe,France,Office Supplies,Binders,Corporate,17,5.25,89.25,41.31,47.94,0.5371
2024-11-21,2024,4,11,November,Asia Pacific,Australia,Furniture,Desks,Corporate,5,539.8,2699.0,1931.21,767.79,0.2845
2024-11-04,2024,4,11,November,North America,Mexico,Office Supplies,Writing,Corporate,17,11.11,188.87,129.17,59.7,0.3161
2023-09-23,2023,3,9,September,North America,United States,Furniture,Chairs,Home Office,1,346.44,346.44,215.38,131.06,0.3783
2022-12-16,2022,4,12,December,Asia Pacific,Singapore,Office Supplies,Paper,Corporate,17,19.98,339.66,222.31,117.35,0.3455
2022-08-14,2022,3,8,August,Asia Pacific,Japan,Clothing,Women,Consumer,7,13.98,97.86,48.97,48.89,0.4996
2022-05-08,2022,2,5,May,North America,Mexico,Electronics,Wearables,Small Business,5,375.65,1878.25,1438.42,439.83,0.2342
2024-07-30,2024,3,7,July,Latin America,Colombia,Office Supplies,Writing,Home Office,18,7.5,135.0,76.53,58.47,0.4331
2023-07-26,2023,3,7,July,Asia Pacific,India,Office Supplies,Binders,Home Office,18,13.25,238.5,181.42,57.08,0.2393
2023-12-16,2023,4,12,December,Latin America,Chile,Office Supplies,Appliances,Consumer,18,281.44,5065.92,3609.39,1456.53,0.2875
2024-03-19,2024,1,3,March,North America,United States,Office Supplies,Appliances,Home Office,12,287.29,3447.48,2466.75,980.73,0.2845
2024-06-24,2024,2,6,June,North America,Canada,Clothing,Men,Consumer,9,137.05,1233.45,577.84,655.61,0.5315
2023-05-06,2023,2,5,May,Asia Pacific,India,Clothing,Kids,Consumer,8,13.69,109.52,75.53,33.99,0.3104
2024-08-25,2024,3,8,August,North America,United States,Electronics,Wearables,Consumer,4,468.28,1873.12,1228.28,644.84,0.3443
2023-02-13,2023,1,2,February,Latin America,Argentina,Furniture,Storage,Corporate,10,245.18,2451.8,1776.07,675.73,0.2756
2022-03-18,2022,1,3,March,Latin America,Brazil,Office Supplies,Binders,Corporate,6,16.95,101.7,73.88,27.82,0.2735
2023-01-17,2023,1,1,January,Latin America,Brazil,Clothing,Footwear,Small Business,10,230.17,2301.7,927.51,1374.19,0.597
2024-12-09,2024,4,12,December,Europe,United Kingdom,Clothing,Kids,Consumer,16,107.6,1721.6,762.57,959.03,0.5571
2024-07-28,2024,3,7,July,Europe,France,Electronics,Phones,Consumer,9,932.67,8394.03,5235.04,3158.99,0.3763
